Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"City of Lawrence, Massachusetts",NDA,CITY OF LAWRENCE,MASSACHUSETTS,,,,
"New Prague Area Schools District No. 721, Minnesota",NDA,NEW PRAGUE AREA SCHOOLS DISTRICT NO. 721,MINNESOTA,,,,
"City of Frisco, Texas",NDA,CITY OF FRISCO,TEXAS,,,,
"Luzerne Intermediate Unit 18, Pennsylvania",NDA,LUZERNE INTERMEDIATE UNIT 18,PENNSYLVANIA,,,,
"Valley Central School District, New York",NDA,VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Rowland Unified School District, California",NDA,ROWLAND UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Mountainair Public School District, New Mexico",NDA,MOUNTAINAIR PUBLIC SCHOOL DISTRICT,NEW MEXICO,,,,
"Webutuck Central School District, New York",NDA,WEBUTUCK CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Duncanville Independent School District, Texas",NDA,DUNCANVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"West Islip Public Schools, New York",NDA,WEST ISLIP PUBLIC SCHOOLS,NEW YORK,,,,
"Northwest Regional Education Service District, Oregon",NDA,NORTHWEST REGIONAL EDUCATION SERVICE DISTRICT,OREGON,,,,
"Delaware County Intermediate Unit, Pennsylvania",NDA,DELAWARE COUNTY INTERMEDIATE UNIT,PENNSYLVANIA,,,,
"Canfield Local School District, Ohio",NDA,CANFIELD LOCAL SCHOOL DISTRICT,OHIO,,,,
"Lee County Sheriff's Office, Florida",NDA,LEE COUNTY SHERIFF'S OFFICE,FLORIDA,,,,
"SUNY Nassau Community College, New York",NDA,SUNY NASSAU COMMUNITY COLLEGE,NEW YORK,,,,
"Prosper Independent School District, Texas",NDA,PROSPER INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Northwest Independent School District, Texas",NDA,NORTHWEST INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Educational Serv Unit 10, Nebraska",NDA,EDUCATIONAL SERV UNIT 10,NEBRASKA,,,,
"Frankfort Community Consolidated School District No. 157-C, Illinois",NDA,FRANKFORT COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 157-C,ILLINOIS,,,,
"Dubuque Community Schools, Iowa",NDA,DUBUQUE COMMUNITY SCHOOLS,IOWA,,,,
"Jamestown School Department, Rhode Island",NDA,JAMESTOWN SCHOOL DEPARTMENT,RHODE ISLAND,,,,
"Moreno Valley Unified School District, California",NDA,MORENO VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
